track_id,song_with_artist
70eFcWOvlMObDhURTqT4Fv,Beautiful People (feat. Khalid) - Ed Sheeran
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather - The Neighbourhood
3B54sVLJ402zGa6Xm4YGNe,"Unforgettable - French Montana, Swae Lee"
7vGuf3Y35N4wmASOKLUVVU,"Silence - Marshmello, Khalid"
7FIWs0pqAYbP91WWM0vlTQ,Godzilla (feat. Juice WRLD) - Eminem
6cx06DFPPHchuUAcTxznu9,Head & Heart (feat. MNEK) - Joel Corry
2qxmye6gAegTMjLKEBoR3d,Let Me Down Slowly - Alec Benjamin
696DnlkuDOXcMAnKlTgXXK,ROXANNE - Arizona Zervas
3kxfsdsCpFgN412fpnW85Y,Redbone - Childish Gambino
7AFASza1mXqntmGtbxXprO,changes - XXXTENTACION
5aAx2yezTd8zXrkmtKl66Z,"Starboy - The Weeknd, Daft Punk"
79s5XnCN4TJKTVMSmOx8Ep,Dior - Pop Smoke
5p7ujcrUXASCNwRaWNHR1C,Without Me - Halsey
08bNPGLD8AhKpnnERrAc6G,"FRIENDS - Marshmello, Anne-Marie"
2ekn2ttSfGqwhhate0LSR0,New Rules - Dua Lipa
0E9ZjEAyAwOXZ7wJC0PD33,"In My Mind - Dynoro, Gigi D'Agostino"
3S0OXQeoh0w6AY8WQVckRW,I'm Yours - Jason Mraz
7sO5G9EABYOXQKNPNiE9NR,Ric Flair Drip (with Metro Boomin) - Offset
22LAwLoDA5b4AaGSkg6bKW,Blueberry Faygo - Lil Mosey
2374M0fQpWi3dLnB54qaLX,Africa - TOTO
4ZLzoOkj0MPWrTLvooIuaa,Get You The Moon (feat. Snøw) - Kina
017PF4Q3l4DBUiWoXk4OWT,Break My Heart - Dua Lipa
6De0lHrwBfPfrhorm9q1Xl,Me Rehúso - Danny Ocean
09IStsImFySgyp0pIQdqAc,"The Middle - Zedd, Maren Morris, Grey"
3NdDpSvN911VPGivFlV5d0,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"" - ZAYN, Taylor Swift"
6QgjcU0zLnzq5OrUoSZ3OK,Feel It Still - Portugal. The Man
5tz69p7tJuGPeMGwNTxYuV,"1-800-273-8255 - Logic, Alessia Cara, Khalid"
3GVkPk8mqxz0itaAriG1L7,Everybody Dies In Their Nightmares - XXXTENTACION
2uIX8YMNjGMD7441kqyyNU,ocean eyes - Billie Eilish
4aWmUDTfIPGksMNLV2rQP2,Despacito (Featuring Daddy Yankee) - Luis Fonsi
5GXAXm5YOmYT0kL5jHvYBt,"I Feel It Coming - The Weeknd, Daft Punk"
5E30LdtzQTGqRvNd7l6kG5,Daddy Issues - The Neighbourhood
5CtI0qwDJkDQGwXD1H1cLb,"Despacito - Remix - Luis Fonsi, Daddy Yankee, Justin Bieber"
5iwz1NiezX7WWjnCgY5TH4,"Calma - Remix - Pedro Capó, Farruko"
7hxHWCCAIIxFLCzvDgnQHX,"Lemonade (feat. Gunna, Don Toliver & NAV) - Internet Money"
6f3Slt0GbA2bPZlz0aIFXN,The Business - Tiësto
4R8BJggjosTswLxtkw8V7P,"No Me Conoce - Remix - Jhay Cortez, J Balvin, Bad Bunny"
35mvY5S1H3J2QZyna3TFe0,positions - Ariana Grande
1x5sYLZiu9r5E43kMlt9f8,Symphony (feat. Zara Larsson) - Clean Bandit
79cuOz3SPQTuFrp8WgftAu,There's Nothing Holdin' Me Back - Shawn Mendes
0PvFJmanyNQMseIFrU708S,For The Night (feat. Lil Baby & DaBaby) - Pop Smoke
5nujrmhLynf4yMoMtj8AQF,Levitating (feat. DaBaby) - Dua Lipa
3Dv1eDb0MEgF93GpLXlucZ,Say So - Doja Cat
4Of7rzpRpV1mWRbhp5rAqG,Bruises - Lewis Capaldi
0afhq8XCExXpqazXczTSve,Galway Girl - Ed Sheeran
1DFD5Fotzgn6yYXkYsKiGs,"Piece Of Your Heart - MEDUZA, Goodboys"
6zeeWid2sgw4lap2jV61PZ,Better - Khalid
1yoMvmasuxZfqHEipJhRbp,Hawái - Maluma
2rRJrJEo19S2J82BDsQ3F7,Falling - Trevor Daniel
22vgEDb5hykfaTwLuskFGD,Sucker - Jonas Brothers
6eT7xZZlB2mwyzJ2sUKG6w,White Iverson - Post Malone
2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake) - Meek Mill
4VXIryQMWpIdGgYR4TrjT1,All Girls Are The Same - Juice WRLD
0fea68AdmYNygeTGI4RC18,"LA CANCIÓN - J Balvin, Bad Bunny"
4qKcDkK6siZ7Jp1Jb4m0aL,Look Alive (feat. Drake) - BlocBoy JB
2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber) - Dan + Shay"
4MzXwWMhyBbmu6hOcLVD49,"DÁKITI - Bad Bunny, Jhay Cortez"
4saklk6nie3yiGePpBwUoc,Dynamite - BTS
3dYD57lRAUcMHufyqn9GcI,Take Me To Church - Hozier
4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion) - Cardi B
5IaHrVsrferBYDm0bDyABy,Taste (feat. Offset) - Tyga
6PCUP3dWmTjcTtXY02oFdT,Castle on the Hill - Ed Sheeran
7K7MUBCnzgBAvMVW2RTWNs,Body (feat. brando) - Loud Luxury
5QO79kh1waicV47BqGRL3g,Save Your Tears - The Weeknd
5knuzwU65gJK7IF5yJsuaW,Rockabye (feat. Sean Paul & Anne-Marie) - Clean Bandit
3ebXMykcMXOcLeJ9xZ17XH,"Scared to Be Lonely - Martin Garrix, Dua Lipa"
7CHi4DtfK4heMlQaudCuHK,"Lose Control - MEDUZA, Becky Hill, Goodboys"
2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD - J. Cole
4iLqG9SeJSnt0cSPICSjxv,Attention - Charlie Puth
1xQ6trAsedVPCdbtDAmk0c,"Savage Love (Laxed - Siren Beat) - Jawsh 685, Jason Derulo"
51Fjme0JiitpyXKuyQiCDo,"Lalala - Y2K, bbno$"
3eR23VReFzcdmS7TYCrhCe,It Ain't Me (with Selena Gomez) - Kygo
0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster - Fleetwood Mac
5w9c2J52mkdntKOmRLeM2m,"Con Calma - Daddy Yankee, Snow"
5ry2OE6R2zPQFDO85XkgRb,Money In The Grave (Drake ft. Rick Ross) - Drake
6kex4EBAj0WHXDKZMEJaaF,Swalla (feat. Nicki Minaj & Ty Dolla $ign) - Jason Derulo
6PGoSes0D9eUDeeAafB2As,LOVE. FEAT. ZACARI. - Kendrick Lamar
2TH65lNHgvLxCKXM3apjxI,"Callaita - Bad Bunny, Tainy"
7ju97lgwC2rKQ6wwsf9no9,Rain On Me (with Ariana Grande) - Lady Gaga
6FZDfxM3a3UCqtzo5pxSLZ,Without Me - Halsey
4umIPjkehX1r7uhmGvXiSV,Intentions (feat. Quavo) - Justin Bieber
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take - The Police
3V8UKqhEK5zBkBb6d6ub8i,"Te Boté - Remix - Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam"
02MWAaffLxlfxAUY7c5dvx,Heat Waves - Glass Animals
7yq4Qj7cqayVTp3FF9CWbm,Riptide - Vance Joy
1K5KBOgreBi5fkEHvg5ap3,Life Is Good (feat. Drake) - Future
1yxgsra98r3qAtxqiGZPiX,BUTTERFLY EFFECT - Travis Scott
7aiClxsDWFRQ0Kzk5KI5ku,hot girl bummer - blackbear
7szuecWAPwGoV1e5vGu8tl,In Your Eyes - The Weeknd
5N5k9nd479b1xpDZ4usjrg,"Promises (with Sam Smith) - Calvin Harris, Jessie Reyez"
2YpeDb67231RjR0MgVLzsG,"Old Town Road - Remix - Lil Nas X, Billy Ray Cyrus"
116H0KvKr2Zl4RPuVBruDO,MIA (feat. Drake) - Bad Bunny
1wjzFQodRWrPcQ0AnYnvQ9,I Like Me Better - Lauv
3AJwUDP919kvQ9QcozQPxg,Yellow - Coldplay
2fuCquhmrzHpu5xcA1ci9x,"Under Pressure - Remastered 2011 - Queen, David Bowie"
4Km5HrUvYTaSUfiSGPJeQR,Bad and Boujee (feat. Lil Uzi Vert) - Migos
45Egmo7icyopuzJN0oMEdk,Love Lies (with Normani) - Khalid
0CcQNd8CINkwQfe1RDtGV6,Believer - Imagine Dragons
6b8Be6ljOzmkOmFslEb23P,24K Magic - Bruno Mars
1tkg4EHVoqnhR6iFEXb60y,What You Know Bout Love - Pop Smoke
5CLGzJsGqhCEECcpnFQA8x,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen) - Rudimental"
72jbDTw1piOOj770jWNeaG,Paris - The Chainsmokers
4SSnFejRGlZikf02HLewEF,bury a friend - Billie Eilish
68EMU2RD1ECNeOeJ5qAXCV,We Don't Talk Anymore (feat. Selena Gomez) - Charlie Puth
78QR3Wp35dqAhFEc2qAGjE,Drip Too Hard (Lil Baby & Gunna) - Lil Baby
2G7V7zsVDxg1yRsu7Ew9RJ,In My Feelings - Drake
0EhpEsp4L0oRGM0vmeaN5e,"UN DIA (ONE DAY) (Feat. Tainy) - J Balvin, Dua Lipa, Bad Bunny"
6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better - Tame Impala
4HBZA5flZLE435QTztThqH,Stuck with U (with Justin Bieber) - Ariana Grande
2rb5MvYT7ZIxbKW5hfcHx8,"Mi Gente - J Balvin, Willy William"
6vBdBCoOhKHiYDDOcorfNo,Goodbyes (Feat. Young Thug) - Post Malone
27OeeYzk6klgBh83TSvGMA,WITHOUT YOU - The Kid LAROI
0qYTZCo5Bwh1nsUFGZP3zn,Felices los 4 - Maluma
6Gg1gjgKi2AK4e0qzsR7sd,Bandit (with YoungBoy Never Broke Again) - Juice WRLD
6HZILIRieu8S0iqY8kIKhj,DNA. - Kendrick Lamar
2EEeOnHehOozLq4aS0n6SL,iSpy (feat. Lil Yachty) - KYLE
7hDc8b7IXETo14hHIHdnhd,Passionfruit - Drake
3QzAOrNlsabgbMwlZt7TAY,Ballin' (with Roddy Ricch) - Mustard
6oJ6le65B3SEqPwMRNXWjY,"Higher Love - Kygo, Whitney Houston"
4e4fqjx0Izh4svvTef1z7e,Meant to Be (feat. Florida Georgia Line) - Bebe Rexha
0zLCBJZSiELJf02ucPP9wb,Roses - Imanbek Remix - SAINt JHN
1wJRveJZLSb1rjhnUHQiv6,Swervin (feat. 6ix9ine) - A Boogie Wit da Hoodie
4pdPtRcBmOSQDlJ3Fk945m,"Let Me Love You - DJ Snake, Justin Bieber"
6EpRaXYhGOB3fj4V2uDkMJ,"Strip That Down - Liam Payne, Quavo"
2qG5sZ7Si6sdK74qLxedYM,"Con Altura - ROSALÍA, J Balvin, El Guincho"
62aP9fBQKYKxi7PDXwcUAS,ily (i love you baby) (feat. Emilee) - Surf Mesa
0QsvXIfqM0zZoerQfsI9lm,Don't Let Me Down (feat. Daya) - The Chainsmokers
3hB5DgAiMAQ4DzYbsMq1IT,Love Yourself - Justin Bieber
3DXncPQOG4VBw3QHh3S817,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne) - DJ Khaled"
6p8NuHm8uCGnn2Dtbtf7zE,Slippery (feat. Gucci Mane) - Migos
4ofwffwvvnbSkrMSCKQDaC,Shotgun - George Ezra
4Hf7WnR761jpxPr5D46Bcd,Treat You Better - Shawn Mendes
2ksOAxtIxY8yElEWw8RhgK,"China - Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna"
5DqdesEfbRyOlSS3Tf6c29,It's You - Ali Gatie
6Im9k8u9iIzKMrmV7BWtlF,34+35 - Ariana Grande
3QwBODjSEzelZyVjxPOHdq,Otra vez (feat. J Balvin) - Zion & Lennox
1Cv1YLb4q0RzL6pybtaMLo,Sunday Best - Surfaces
1J14CdDAvBTE1AJYUOwl6C,Arcade - Duncan Laurence
7xQAfvXzm3AkraOtGPWIZg,Wow. - Post Malone
2qT1uLXPVPzGgFOx4jtEuo,no tears left to cry - Ariana Grande
5WHTFyqSii0lmT9R21abT8,Don't Call Me Up - Mabel
2SAqBLGA283SUiwJ3xOUVI,Laugh Now Cry Later (feat. Lil Durk) - Drake
1bhUWB0zJMIKr9yVPrkEuI,Perfect Duet (Ed Sheeran & Beyoncé) - Ed Sheeran
6TqXcAFInzjp0bODyvrWEq,Talk (feat. Disclosure) - Khalid
5q2JbCNi4FcnglgPfxcV65,"Sola - Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin"
5KawlOMHjWeUjQtnuRs22c,Boy With Luv (feat. Halsey) - BTS
7mldq42yDuxiUNn08nvzHO,Body Like A Back Road - Sam Hunt
6b2RcmUt1g9N9mQ3CbjX2Y,How Do You Sleep? - Sam Smith
0dA2Mk56wEzDgegdC6R17g,Stay (with Alessia Cara) - Zedd
3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary - Giveon
6HUnnBwYZqcED1eQztxMBN,Solo Dance - Martin Jensen
4w8niZpiMy6qz1mntFA5uM,"Taki Taki (with Selena Gomez, Ozuna & Cardi B) - DJ Snake"
5hEM0JchdVzQ5PwvSfITeX,Me llamas (feat. Maluma) - Remix - Piso 21
6ft4hAq6yde8jPZY2i5zLr,Paradise (feat. Dermot Kennedy) - MEDUZA
6XHVuErjQ4XNm6nDPVCxVX,No Guidance (feat. Drake) - Chris Brown
1lOe9qE0vR9zwWQAOk6CoO,Ransom - Lil Tecca
1f3yAtsJtY87CTmM8RLnxf,Smells Like Teen Spirit - Nirvana
466cKvZn1j45IpxDdYZqdA,Toosie Slide - Drake
2Y0wPrPQBrGhoLn14xRYCG,Come & Go (with Marshmello) - Juice WRLD
6Ozh9Ok6h4Oi1wUSLtBseN,BOP - DaBaby
4cG7HUWYHBV6R6tHn1gxrl,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit - Riton, Nightcrawlers"
22eADXu8DfOAUEDw4vU8qy,"Ahora Dice - Chris Jedi, J Balvin, Ozuna, Arcangel"
2gwkD6igEhQbDQegRCcdoB,Suge - DaBaby
1j4kHkkpqZRBwE0A4CN4Yv,"Dusk Till Dawn - Radio Edit - ZAYN, Sia"
6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"") - Justin Timberlake"
2tpWsVSb9UEmDRxAl1zhX1,Counting Stars - OneRepublic
4HYDUMY0xSpeBr0AMY9cUz,"La Curiosidad - Jay Wheeler, DJ Nelson, Myke Towers"
2fQrGHiQOvpL9UgPvtYy6G,Bank Account - 21 Savage
5JEx7HbmvHQQswJCsoo9rA,Close To Me (with Diplo) (feat. Swae Lee) - Ellie Goulding
1louJpMmzEicAn7lzDalPW,No Promises (feat. Demi Lovato) - Cheat Codes
5yuShbu70mtHXY0yLzCQLQ,Go Flex - Post Malone
0TlLq3lA83rQOYtrqBqSct,Nonstop - Drake
2bT1PH7Cw3J9p3t7nlXCdh,If I Can't Have You - Shawn Mendes
1OAh8uOEOvTDqkKFsKksCi,Wild Thoughts (feat. Rihanna & Bryson Tiller) - DJ Khaled
7iDa6hUg2VgEL1o1HjmfBn,Meant to Be (feat. Florida Georgia Line) - Bebe Rexha
2OALaHcDdKkjYEpAr0Qzab,Lonely Together (feat. Rita Ora) - Avicii
1NDxZ7cFAo481dtYWdrUnR,Pretty Girl - Cheat Codes X CADE Remix - Maggie Lindemann
2XIc1pqjXV3Cr2BQUGNBck,"LA NOCHE DE ANOCHE - Bad Bunny, ROSALÍA"
6tDDoYIxWvMLTdKpjFkc1B,telepatía - Kali Uchis
2lCkncy6bIB0LTMT7kvrD1,Azul - J Balvin
1VLtjHwRWOVJiE5Py7JxoQ,Martin & Gina - Polo G
7oK9VyNzrYvRFo7nQEYkWN,Mr. Brightside - The Killers
2U5WueTLIK5WJLD7mvDODv,Wishing Well - Juice WRLD
4VUwkH455At9kENOfzTqmF,Beautiful (feat. Camila Cabello) - Bazzi
0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You - Mariah Carey
4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon) - Justin Bieber
0ct6r3EGTcMLPtrXHDvVjc,The Nights - Avicii
2ijef6ni2amuunRoKTlgww,"Sin Pijama - Becky G, Natti Natasha"
0SGkqnVQo9KPytSri1H6cF,Bounce Back - Big Sean
3m660poUr1chesgkkjQM7P,Sorry Not Sorry - Demi Lovato
6EDO9iiTtwNv6waLwa1UUq,POPSTAR (feat. Drake) - DJ Khaled
5uEYRdEIh9Bo4fpjDd4Na9,"Goosebumps - Remix - Travis Scott, HVME"
4jPy3l0RUwlUI9T5XHBW2m,Mood (feat. iann dior) - 24kGoldn
7MHN1aCFtLXjownGhvEQlF,Una Lady Como Tú - Manuel Turizo
78rIJddV4X0HkNAInEcYde,Call On Me - Ryan Riback Extended Remix - Starley
6Za3190Sbw39BBC77WSS1C,"Criminal - Natti Natasha, Ozuna"
3CRDbSIZ4r5MsZ0YwxuEkn,Stressed Out - Twenty One Pilots
003vvx7Niy0yvhvHt4a68B,Mr. Brightside - The Killers
4TZy1wLyHec06pwgFYDh1a,Mercy - Shawn Mendes
4kWO6O1BUXcZmaxitpVUwp,"Jackie Chan - Tiësto, Dzeko, Preme, Post Malone"
7COXchtUOMd6uIT6HvmRaI,"i'm so tired... - Lauv, Troye Sivan"
6mAN61JH0dzyZpWslS11jy,"Fantasias - Rauw Alejandro, Farruko"
0NiXXAI876aGImAd6rTj8w,"Mama - Jonas Blue, William Singe"
0tKcYR2II1VCQWT79i5NrW,Thunder - Imagine Dragons
5bcTCxgc7xVfSaMV3RuVke,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean) - Calvin Harris, Funk Wav"
59qrUpoplZxbIZxk6X0Bm3,Take You Dancing - Jason Derulo
5qmq61DAAOUaW8AUo8xKhh,Truth Hurts - Lizzo
4okba5wu9mMLXx79DXLKi3,"La Rompe Corazones - Daddy Yankee, Ozuna"
7uzmGiiJyRfuViKKK3lVmR,Mine - Bazzi
6WbADFqMvR8N5u0BvtsWQE,Without You (feat. Sandro Cavazza) - Avicii
7JNh1cfm0eXjqFVOzKLyau,"Mayores - Becky G, Bad Bunny"
1tNJrcVe6gwLEiZCtprs1u,3 Nights - Dominic Fike
4pLwZjInHj3SimIyN9SnOz,"Side To Side - Ariana Grande, Nicki Minaj"
60ynsPSSKe6O3sfwRnIBRf,Streets - Doja Cat
7ycWLEP1GsNjVvcjawXz3z,Praise The Lord (Da Shine) (feat. Skepta) - A$AP Rocky
6mrKP2jyIQmM0rw6fQryjr,Let You Down - NF
3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA) - Kendrick Lamar
7kDUspsoYfLkWnZR7qwHZl,my ex's best friend (with blackbear) - Machine Gun Kelly
5stPVcRqb4qixbafP9e8lt,"Hola - Remix - Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow"
2rbDhOo9Fh61Bbu23T2qCk,Always Remember Us This Way - Lady Gaga
2DEZmgHKAvm41k4J3R2E9Y,"Safaera - Bad Bunny, Jowell & Randy, Ñengo Flow"
5Ohxk2dO5COHF1krpoPigN,Sign of the Times - Harry Styles
5AEtlRudpgdT5FtNiuly6Y,"Let Me Go (with Alesso, Florida Georgia Line & watt) - Hailee Steinfeld"
161DnLWsx1i3u1JT05lzqU,Talking to the Moon - Bruno Mars
3rOSwuTsUlJp0Pu0MkN8r8,Mask Off - Future
40T5GIqQ1CegGm2PTEl8Bu,idontwannabeyouanymore - Billie Eilish
6mICuAdrwEjh6Y6lroV2Kg,Chantaje (feat. Maluma) - Shakira
343YBumqHu19cGoGARUTsd,Fake Love - Drake
6jA8JUuPCGYjFcgw0AoM5T,Me Niego (feat. Ozuna & Wisin) - Reik
3umS4y3uQDkqekNjVpiRUs,El Amante - Nicky Jam
6MWtB6iiXyIwun0YzU6DFP,Wow. - Post Malone
6gi6y1xwmVszDWkUqab1qw,"OUT WEST (feat. Young Thug) - JACKBOYS, Travis Scott"
693iqPOQvhI7PobtR8CC8v,"Bonita - J Balvin, Jowell & Randy"
04DwTuZ2VBdJCCC5TROn7L,"In the Name of Love - Martin Garrix, Bebe Rexha"
1m69ELEgE6k5ZWsap40ozt,Se Preparó - Ozuna
7gHs73wELdeycvS48JfIos,Faded - Alan Walker
2RSHsoi04658QL5xgQVov3,Bad Liar - Imagine Dragons
7jtQIBanIiJOMS6RyCx6jZ,Another Love - Tom Odell
7MAibcTli4IisCtbHKrGMh,"Leave The Door Open - Bruno Mars, Anderson .Paak, Silk Sonic"
5rZlwNFl01HqLWBQGryKSm,Mood Swings (feat. Lil Tjay) - Pop Smoke
2771LMNxwf62FTAdpJMQfM,Bodak Yellow - Cardi B
6kls8cSlUyHW2BUOkDJIZE,Hate Me (with Juice WRLD) - Ellie Goulding
7EmGUiUaOSGDnUUQUDrOXC,"Wolves - Selena Gomez, Marshmello"
7KbF6AdprOXEEHlsq11Z6d,11 PM - Maluma
3VClLWqNn80Llv0PJOsKgr,"Báilame - Remix - Nacho, Yandel, Bad Bunny, Mambo Kingz, DJ Luian"
5Y9fnynLlIvqtM710MHzfz,Síguelo Bailando - Ozuna
6DNtNfH8hXkqOX1sjqmI7p,Cold Water (feat. Justin Bieber & MØ) - Major Lazer
4vUmTMuQqjdnvlZmAH61Qk,South of the Border (feat. Camila Cabello & Cardi B) - Ed Sheeran
